date;song;artist;idk;link
January 1, 2024 at 02:45PM;Writer In The Dark;Lorde;193Dm5SqYy3hTSbuzxbwKc;https://open.spotify.com/track/193Dm5SqYy3hTSbuzxbwKc
January 1, 2024 at 02:48PM;Creep (Glee Cast Version);Glee Cast;7t0u2dbZoby5Y6yWXY2zYG;https://open.spotify.com/track/7t0u2dbZoby5Y6yWXY2zYG
January 1, 2024 at 02:52PM;Not a Second to Waste;A Rocket To The Moon;2u4P8OYhcN8K5A0UiofefL;https://open.spotify.com/track/2u4P8OYhcN8K5A0UiofefL
January 1, 2024 at 02:56PM;The Gold - Phoebe Bridgers Version;Manchester Orchestra;7qcXUzPwoxSBFxjTbNrV0B;https://open.spotify.com/track/7qcXUzPwoxSBFxjTbNrV0B
January 2, 2024 at 05:56PM;Thumbs;Sabrina Carpenter;6WC5fhc9XMaCrUNKNjm9xE;https://open.spotify.com/track/6WC5fhc9XMaCrUNKNjm9xE
January 2, 2024 at 06:59PM;Zombie;The Cranberries;7EZC6E7UjZe63f1jRmkWxt;https://open.spotify.com/track/7EZC6E7UjZe63f1jRmkWxt
January 2, 2024 at 07:02PM;Homesick;Noah Kahan;0jkzxxDG8z3Y5OmfNl1VM0;https://open.spotify.com/track/0jkzxxDG8z3Y5OmfNl1VM0
January 2, 2024 at 07:09PM;Jersey;Mayday Parade;6gxupt6imt0qIdbE8e356n;https://open.spotify.com/track/6gxupt6imt0qIdbE8e356n
January 2, 2024 at 07:10PM;brutal;Olivia Rodrigo;6SRsiMl7w1USE4mFqrOhHC;https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
January 3, 2024 at 09:42AM;The Start of Your Ending (41st Side);Mobb Deep;5DGnlowf1fjT7VWsoeRDlb;https://open.spotify.com/track/5DGnlowf1fjT7VWsoeRDlb
January 3, 2024 at 09:45AM;(The Infamous Prelude);Mobb Deep;41sW9ZPxYJCUj0Bw0jfJTT;https://open.spotify.com/track/41sW9ZPxYJCUj0Bw0jfJTT
January 3, 2024 at 09:48AM;Survival of the Fittest;Mobb Deep;7N1Vjtzr1lmmCW9iasQ8YO;https://open.spotify.com/track/7N1Vjtzr1lmmCW9iasQ8YO
January 3, 2024 at 09:53AM;Eye for a Eye (Your Beef Is Mines) (feat. Nas & Raekwon);Mobb Deep;0T2AYQdV9KRC8y8FC1jKq4;https://open.spotify.com/track/0T2AYQdV9KRC8y8FC1jKq4
January 3, 2024 at 09:54AM;(Just Step Prelude);Mobb Deep;29Wtd44rwt8wFimq3SQEx5;https://open.spotify.com/track/29Wtd44rwt8wFimq3SQEx5
January 3, 2024 at 09:58AM;Give Up the Goods (Just Step) (feat. Big Noyd);Mobb Deep;61VlApj8p2ZaP0WTunTrKT;https://open.spotify.com/track/61VlApj8p2ZaP0WTunTrKT
January 3, 2024 at 10:03AM;Temperature's Rising (feat. Crystal Johnson);Mobb Deep;0Y1wsOHYGbNNNGeYjQJ8BL;https://open.spotify.com/track/0Y1wsOHYGbNNNGeYjQJ8BL
January 3, 2024 at 10:08AM;Up North Trip;Mobb Deep;7KQvT4YuzcmyogWg7Gq4Z5;https://open.spotify.com/track/7KQvT4YuzcmyogWg7Gq4Z5
January 3, 2024 at 10:14AM;Trife Life;Mobb Deep;7a2dsbIZcf5SAz7Uv4G0NR;https://open.spotify.com/track/7a2dsbIZcf5SAz7Uv4G0NR
January 3, 2024 at 10:18AM;Q.U. - Hectic;Mobb Deep;0KwR2yIvknqi1V9BUFmZ2i;https://open.spotify.com/track/0KwR2yIvknqi1V9BUFmZ2i
January 3, 2024 at 10:26AM;Right Back at You (feat. Ghostface Killah Raekwon & Big Noyd);Mobb Deep;5ZlKf4HlgrtzSGV1bowNla;https://open.spotify.com/track/5ZlKf4HlgrtzSGV1bowNla
January 3, 2024 at 10:27AM;(The Grave Prelude);Mobb Deep;63lCTHGh9eM46t7wTvyrny;https://open.spotify.com/track/63lCTHGh9eM46t7wTvyrny
January 3, 2024 at 10:32AM;Cradle to the Grave;Mobb Deep;2uCMts8MLE3GktieyAIeXu;https://open.spotify.com/track/2uCMts8MLE3GktieyAIeXu
January 3, 2024 at 10:37AM;Drink Away the Pain (Situations) (feat. Q-Tip);Mobb Deep;4GdKi4F976XGtr8hedHEro;https://open.spotify.com/track/4GdKi4F976XGtr8hedHEro
January 3, 2024 at 10:42AM;Shook Ones, Pt. II;Mobb Deep;33ZXjLCpiINn8eQIDYEPTD;https://open.spotify.com/track/33ZXjLCpiINn8eQIDYEPTD
January 3, 2024 at 10:48AM;Party Over (feat. Big Noyd);Mobb Deep;4cC7b7V5bSP7NHTAhr5efn;https://open.spotify.com/track/4cC7b7V5bSP7NHTAhr5efn
January 4, 2024 at 10:23AM;Swim;Reneé Rapp;7K0ikRgR8HnGcTl73jkTO1;https://open.spotify.com/track/7K0ikRgR8HnGcTl73jkTO1
January 4, 2024 at 10:26AM;Willow;Reneé Rapp;6aazpzwi4ScHO6bzA4qz4t;https://open.spotify.com/track/6aazpzwi4ScHO6bzA4qz4t
January 4, 2024 at 10:30AM;23;Reneé Rapp;46MRqEBwGxfguFfNH2Dbzi;https://open.spotify.com/track/46MRqEBwGxfguFfNH2Dbzi
January 4, 2024 at 10:32AM;Gemini Moon;Reneé Rapp;3FqcxdZGpxjRIKXZphKffk;https://open.spotify.com/track/3FqcxdZGpxjRIKXZphKffk
January 4, 2024 at 10:35AM;I Do;Reneé Rapp;6sl8thmAsTzYfVw3jJ9z49;https://open.spotify.com/track/6sl8thmAsTzYfVw3jJ9z49
January 4, 2024 at 10:38AM;Tummy Hurts (feat. Coco Jones) - Remix;Reneé Rapp;3WLW76a7K7krnGyF9s4lIk;https://open.spotify.com/track/3WLW76a7K7krnGyF9s4lIk
January 4, 2024 at 10:41AM;Talk Too Much;Reneé Rapp;4JCv9Nx6Lx4cTwu7Aty5qd;https://open.spotify.com/track/4JCv9Nx6Lx4cTwu7Aty5qd
January 4, 2024 at 10:44AM;Messy;Reneé Rapp;6Aq5jj99FHObab4hcfwR4i;https://open.spotify.com/track/6Aq5jj99FHObab4hcfwR4i
January 4, 2024 at 10:48AM;I Wish;Reneé Rapp;6O479qefOZN8KjUJU0QpAU;https://open.spotify.com/track/6O479qefOZN8KjUJU0QpAU
January 4, 2024 at 10:51AM;Snow Angel;Reneé Rapp;3hL6rM3wYeWgONISIHXg8G;https://open.spotify.com/track/3hL6rM3wYeWgONISIHXg8G
January 4, 2024 at 10:53AM;Showtime;Lord Finesse;3U4ykydx9qKJ764ZpgD7Pv;https://open.spotify.com/track/3U4ykydx9qKJ764ZpgD7Pv
January 4, 2024 at 10:54AM;Pretty Girls;Reneé Rapp;6asWSYBkVpMPmI2PRvqDXQ;https://open.spotify.com/track/6asWSYBkVpMPmI2PRvqDXQ
January 4, 2024 at 10:57AM;So What Now;Reneé Rapp;1fanyDgHMNULC15WS2peWU;https://open.spotify.com/track/1fanyDgHMNULC15WS2peWU
January 4, 2024 at 11:07AM;I Hate Boston;Reneé Rapp;0kO4toO6Wqde0p84YIixQ9;https://open.spotify.com/track/0kO4toO6Wqde0p84YIixQ9
January 4, 2024 at 11:10AM;The Wedding Song;Reneé Rapp;3n25SR42Ds1Iuryk4iOlzT;https://open.spotify.com/track/3n25SR42Ds1Iuryk4iOlzT
January 4, 2024 at 11:14AM;Red Wine Supernova;Chappell Roan;7FOgcfdz9Nx5V9lCNXdBYv;https://open.spotify.com/track/7FOgcfdz9Nx5V9lCNXdBYv
January 4, 2024 at 11:17AM;Kill Your Pain (with King Princess);Boyish;4pmiEqiZKvQIJP7zquAzHg;https://open.spotify.com/track/4pmiEqiZKvQIJP7zquAzHg
January 4, 2024 at 11:20AM;all-american bitch;Olivia Rodrigo;34sOdxWu9FljH84UXdRwu1;https://open.spotify.com/track/34sOdxWu9FljH84UXdRwu1
January 4, 2024 at 11:25AM;In The Kitchen;Reneé Rapp;2VFetGqLYq0Pc8ZtRYCaeL;https://open.spotify.com/track/2VFetGqLYq0Pc8ZtRYCaeL
January 4, 2024 at 11:28AM;ballad of a homeschooled girl;Olivia Rodrigo;5sp71CUt0jXRNqHblPGp7b;https://open.spotify.com/track/5sp71CUt0jXRNqHblPGp7b
January 4, 2024 at 11:30AM;emails i can’t send;Sabrina Carpenter;2qLyo5FeWquE7HBUbcVnEy;https://open.spotify.com/track/2qLyo5FeWquE7HBUbcVnEy
January 4, 2024 at 11:34AM;HOT TO GO!;Chappell Roan;4xdBrk0nFZaP54vvZj0yx7;https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7
January 4, 2024 at 11:37AM;Not My Fault (with Megan Thee Stallion);Reneé Rapp;37kP0yUo66nRnFHtC5rV1M;https://open.spotify.com/track/37kP0yUo66nRnFHtC5rV1M
January 4, 2024 at 11:41AM;First Time;Hozier;4LesrBswFnLcHmwDslst1q;https://open.spotify.com/track/4LesrBswFnLcHmwDslst1q
January 4, 2024 at 11:45AM;She Calls Me Back (with Kacey Musgraves);Noah Kahan;0p1hBWPaSxUDTSa32PyhnU;https://open.spotify.com/track/0p1hBWPaSxUDTSa32PyhnU
January 4, 2024 at 11:47AM;Guy On A Horse;Maisie Peters;4bF6ithLaXupvE6XTIBiSq;https://open.spotify.com/track/4bF6ithLaXupvE6XTIBiSq
January 4, 2024 at 11:51AM;I Wanna;ella jane;1IXfNzFG3JdrjBt8VPDjC6;https://open.spotify.com/track/1IXfNzFG3JdrjBt8VPDjC6
January 4, 2024 at 11:52AM;Super Graphic Ultra Modern Girl;Chappell Roan;1rNSCrsOoWyhKH4g47mehU;https://open.spotify.com/track/1rNSCrsOoWyhKH4g47mehU
January 5, 2024 at 10:41AM;Super Graphic Ultra Modern Girl;Chappell Roan;1rNSCrsOoWyhKH4g47mehU;https://open.spotify.com/track/1rNSCrsOoWyhKH4g47mehU
January 5, 2024 at 10:44AM;Red Wine Supernova;Chappell Roan;7FOgcfdz9Nx5V9lCNXdBYv;https://open.spotify.com/track/7FOgcfdz9Nx5V9lCNXdBYv
January 5, 2024 at 10:47AM;love is embarrassing;Olivia Rodrigo;26QLJMK8G0M06sk7h7Fkse;https://open.spotify.com/track/26QLJMK8G0M06sk7h7Fkse
January 5, 2024 at 10:50AM;Silk Chiffon;MUNA;5ECxiK4Vigo1yRRmAoZc1f;https://open.spotify.com/track/5ECxiK4Vigo1yRRmAoZc1f
January 5, 2024 at 10:54AM;i can't get my shit together;Baby Queen;7vhtylsJfH53CUmns6bJ5Q;https://open.spotify.com/track/7vhtylsJfH53CUmns6bJ5Q
January 5, 2024 at 11:24AM;My Kink Is Karma;Chappell Roan;32fSZSbxeVoiZShMQKLc6Z;https://open.spotify.com/track/32fSZSbxeVoiZShMQKLc6Z
January 5, 2024 at 11:28AM;ballad of a homeschooled girl;Olivia Rodrigo;5sp71CUt0jXRNqHblPGp7b;https://open.spotify.com/track/5sp71CUt0jXRNqHblPGp7b
January 5, 2024 at 11:31AM;My Lady of Mercy;The Last Dinner Party;2M1zHytH8Ch9HmhpScKyvV;https://open.spotify.com/track/2M1zHytH8Ch9HmhpScKyvV
January 5, 2024 at 11:35AM;De Selby (Part 2);Hozier;3SRtygyWBQnoxuOPtdBPm2;https://open.spotify.com/track/3SRtygyWBQnoxuOPtdBPm2
January 5, 2024 at 11:46AM;Pink Pony Club;Chappell Roan;1k2pQc5i348DCHwbn5KTdc;https://open.spotify.com/track/1k2pQc5i348DCHwbn5KTdc
January 5, 2024 at 03:12PM;The Wedding Song;Reneé Rapp;3n25SR42Ds1Iuryk4iOlzT;https://open.spotify.com/track/3n25SR42Ds1Iuryk4iOlzT
January 5, 2024 at 03:14PM;I Do;Reneé Rapp;6sl8thmAsTzYfVw3jJ9z49;https://open.spotify.com/track/6sl8thmAsTzYfVw3jJ9z49
January 5, 2024 at 03:18PM;I Wish;Reneé Rapp;6O479qefOZN8KjUJU0QpAU;https://open.spotify.com/track/6O479qefOZN8KjUJU0QpAU
January 5, 2024 at 03:21PM;Messy;Reneé Rapp;6Aq5jj99FHObab4hcfwR4i;https://open.spotify.com/track/6Aq5jj99FHObab4hcfwR4i
January 5, 2024 at 03:24PM;Talk Too Much;Reneé Rapp;4JCv9Nx6Lx4cTwu7Aty5qd;https://open.spotify.com/track/4JCv9Nx6Lx4cTwu7Aty5qd
January 5, 2024 at 03:27PM;I Hate Boston;Reneé Rapp;0kO4toO6Wqde0p84YIixQ9;https://open.spotify.com/track/0kO4toO6Wqde0p84YIixQ9
January 5, 2024 at 03:31PM;Poison Poison;Reneé Rapp;104LhNPVXwPlS9U7jh5xiH;https://open.spotify.com/track/104LhNPVXwPlS9U7jh5xiH
January 5, 2024 at 03:33PM;Gemini Moon;Reneé Rapp;3FqcxdZGpxjRIKXZphKffk;https://open.spotify.com/track/3FqcxdZGpxjRIKXZphKffk
January 5, 2024 at 03:37PM;Swim;Reneé Rapp;7K0ikRgR8HnGcTl73jkTO1;https://open.spotify.com/track/7K0ikRgR8HnGcTl73jkTO1
January 5, 2024 at 03:40PM;23;Reneé Rapp;46MRqEBwGxfguFfNH2Dbzi;https://open.spotify.com/track/46MRqEBwGxfguFfNH2Dbzi
January 5, 2024 at 03:43PM;Willow;Reneé Rapp;6aazpzwi4ScHO6bzA4qz4t;https://open.spotify.com/track/6aazpzwi4ScHO6bzA4qz4t
January 5, 2024 at 03:46PM;So What Now;Reneé Rapp;1fanyDgHMNULC15WS2peWU;https://open.spotify.com/track/1fanyDgHMNULC15WS2peWU
January 5, 2024 at 03:49PM;Red Wine Supernova;Chappell Roan;7FOgcfdz9Nx5V9lCNXdBYv;https://open.spotify.com/track/7FOgcfdz9Nx5V9lCNXdBYv
January 5, 2024 at 03:53PM;ballad of a homeschooled girl;Olivia Rodrigo;5sp71CUt0jXRNqHblPGp7b;https://open.spotify.com/track/5sp71CUt0jXRNqHblPGp7b
January 6, 2024 at 11:24AM;First Time;Hozier;4LesrBswFnLcHmwDslst1q;https://open.spotify.com/track/4LesrBswFnLcHmwDslst1q
January 6, 2024 at 11:28AM;My Kink Is Karma;Chappell Roan;32fSZSbxeVoiZShMQKLc6Z;https://open.spotify.com/track/32fSZSbxeVoiZShMQKLc6Z
January 6, 2024 at 11:31AM;Talk Too Much;Reneé Rapp;1ekAgx1qOdnVoSlmkHghKq;https://open.spotify.com/track/1ekAgx1qOdnVoSlmkHghKq
January 6, 2024 at 11:34AM;bad idea right?;Olivia Rodrigo;3IX0yuEVvDbnqUwMBB3ouC;https://open.spotify.com/track/3IX0yuEVvDbnqUwMBB3ouC
January 6, 2024 at 11:37AM;Man of Your Dreams (feat. Samia);Raffaella;6aBR6BT722mKXNAKAOEsjj;https://open.spotify.com/track/6aBR6BT722mKXNAKAOEsjj
January 6, 2024 at 11:39AM;If I'm Honest;Trousdale;0BjqRekzGWZ4es58rTkza9;https://open.spotify.com/track/0BjqRekzGWZ4es58rTkza9
January 6, 2024 at 11:44AM;She Calls Me Back (with Kacey Musgraves);Noah Kahan;0p1hBWPaSxUDTSa32PyhnU;https://open.spotify.com/track/0p1hBWPaSxUDTSa32PyhnU
January 6, 2024 at 12:04PM;i can't get my shit together;Baby Queen;7vhtylsJfH53CUmns6bJ5Q;https://open.spotify.com/track/7vhtylsJfH53CUmns6bJ5Q
January 6, 2024 at 12:07PM;i can't get my shit together;Baby Queen;7vhtylsJfH53CUmns6bJ5Q;https://open.spotify.com/track/7vhtylsJfH53CUmns6bJ5Q
January 6, 2024 at 12:11PM;The Wedding Song;Reneé Rapp;3UNTCTqSGhVaaMQvBty1q6;https://open.spotify.com/track/3UNTCTqSGhVaaMQvBty1q6
January 6, 2024 at 12:14PM;Super Graphic Ultra Modern Girl;Chappell Roan;1rNSCrsOoWyhKH4g47mehU;https://open.spotify.com/track/1rNSCrsOoWyhKH4g47mehU
January 6, 2024 at 12:18PM;Femininomenon;Chappell Roan;53IRnAWx13PYmoVYtemUBS;https://open.spotify.com/track/53IRnAWx13PYmoVYtemUBS
January 6, 2024 at 12:21PM;Not My Fault (with Megan Thee Stallion);Reneé Rapp;37kP0yUo66nRnFHtC5rV1M;https://open.spotify.com/track/37kP0yUo66nRnFHtC5rV1M
January 6, 2024 at 12:26PM;pretty isn’t pretty;Olivia Rodrigo;6W9l02gRsXVxzIuQC1oc1X;https://open.spotify.com/track/6W9l02gRsXVxzIuQC1oc1X
January 6, 2024 at 04:09PM;Murder On The Dancefloor;Sophie Ellis-Bextor;4tKGFmENO69tZR9ahgZu48;https://open.spotify.com/track/4tKGFmENO69tZR9ahgZu48
January 6, 2024 at 04:13PM;Dreams - 2004 Remaster;Fleetwood Mac;0ofHAoxe9vBkTCp2UQIavz;https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
January 6, 2024 at 04:17PM;Dance Wiv Me - Radio Edit;Dizzee Rascal;6pTg4H8juKV9iSzrcVUbM3;https://open.spotify.com/track/6pTg4H8juKV9iSzrcVUbM3
January 6, 2024 at 04:19PM;Waterloo;ABBA;3Dy4REq8O09IlgiwuHQ3sk;https://open.spotify.com/track/3Dy4REq8O09IlgiwuHQ3sk
January 6, 2024 at 04:24PM;Dancing On My Own - Radio Edit;Robyn;7g13jf3zqlP5S68Voo5v9m;https://open.spotify.com/track/7g13jf3zqlP5S68Voo5v9m
January 6, 2024 at 04:28PM;Valerie (feat. Amy Winehouse) - Version Revisited;Mark Ronson;6kopmMZiyLmw7h66uXcXR7;https://open.spotify.com/track/6kopmMZiyLmw7h66uXcXR7
January 6, 2024 at 04:30PM;I Love It (feat. Charli XCX);Icona Pop;6HZ9VeI5IRFCNQLXhpF4bq;https://open.spotify.com/track/6HZ9VeI5IRFCNQLXhpF4bq
January 6, 2024 at 06:48PM;Murder On The Dancefloor;Sophie Ellis-Bextor;4tKGFmENO69tZR9ahgZu48;https://open.spotify.com/track/4tKGFmENO69tZR9ahgZu48
January 6, 2024 at 06:51PM;Dance Wiv Me - Radio Edit;Dizzee Rascal;6pTg4H8juKV9iSzrcVUbM3;https://open.spotify.com/track/6pTg4H8juKV9iSzrcVUbM3
January 6, 2024 at 06:54PM;Waterloo;ABBA;3Dy4REq8O09IlgiwuHQ3sk;https://open.spotify.com/track/3Dy4REq8O09IlgiwuHQ3sk
January 6, 2024 at 06:59PM;Dancing On My Own - Radio Edit;Robyn;7g13jf3zqlP5S68Voo5v9m;https://open.spotify.com/track/7g13jf3zqlP5S68Voo5v9m
January 6, 2024 at 07:02PM;Valerie (feat. Amy Winehouse) - Version Revisited;Mark Ronson;6kopmMZiyLmw7h66uXcXR7;https://open.spotify.com/track/6kopmMZiyLmw7h66uXcXR7
January 6, 2024 at 07:05PM;I Love It (feat. Charli XCX);Icona Pop;6HZ9VeI5IRFCNQLXhpF4bq;https://open.spotify.com/track/6HZ9VeI5IRFCNQLXhpF4bq
January 6, 2024 at 07:29PM;Suddenly I See;KT Tunstall;5p9XWUdvbUzmPCukOmwoU3;https://open.spotify.com/track/5p9XWUdvbUzmPCukOmwoU3
January 6, 2024 at 07:32PM;Candle Flame;Jungle;1Ad2HcIX9zBqoWRvxtpYGf;https://open.spotify.com/track/1Ad2HcIX9zBqoWRvxtpYGf
January 6, 2024 at 07:35PM;SOS;ABBA;6yZv0Nl6BXABbXoPVpfF5y;https://open.spotify.com/track/6yZv0Nl6BXABbXoPVpfF5y
January 6, 2024 at 07:37PM;Walking On A Dream;Empire of the Sun;3HfhB8sYqLlVmpBPb7cc2x;https://open.spotify.com/track/3HfhB8sYqLlVmpBPb7cc2x
January 7, 2024 at 04:05PM;Murder On The Dancefloor;Sophie Ellis-Bextor;4tKGFmENO69tZR9ahgZu48;https://open.spotify.com/track/4tKGFmENO69tZR9ahgZu48
January 7, 2024 at 04:09PM;Dance Wiv Me - Radio Edit;Dizzee Rascal;6pTg4H8juKV9iSzrcVUbM3;https://open.spotify.com/track/6pTg4H8juKV9iSzrcVUbM3
January 7, 2024 at 04:17PM;Dancing On My Own - Radio Edit;Robyn;7g13jf3zqlP5S68Voo5v9m;https://open.spotify.com/track/7g13jf3zqlP5S68Voo5v9m
January 7, 2024 at 04:20PM;Valerie (feat. Amy Winehouse) - Version Revisited;Mark Ronson;6kopmMZiyLmw7h66uXcXR7;https://open.spotify.com/track/6kopmMZiyLmw7h66uXcXR7
January 7, 2024 at 04:23PM;I Love It (feat. Charli XCX);Icona Pop;6HZ9VeI5IRFCNQLXhpF4bq;https://open.spotify.com/track/6HZ9VeI5IRFCNQLXhpF4bq
January 8, 2024 at 09:06AM;Super Graphic Ultra Modern Girl;Chappell Roan;1rNSCrsOoWyhKH4g47mehU;https://open.spotify.com/track/1rNSCrsOoWyhKH4g47mehU
January 8, 2024 at 11:38AM;Murder On The Dancefloor;Sophie Ellis-Bextor;4tKGFmENO69tZR9ahgZu48;https://open.spotify.com/track/4tKGFmENO69tZR9ahgZu48
January 8, 2024 at 11:41AM;Dance Wiv Me - Radio Edit;Dizzee Rascal;6pTg4H8juKV9iSzrcVUbM3;https://open.spotify.com/track/6pTg4H8juKV9iSzrcVUbM3
January 8, 2024 at 11:44AM;I Love It (feat. Charli XCX);Icona Pop;6HZ9VeI5IRFCNQLXhpF4bq;https://open.spotify.com/track/6HZ9VeI5IRFCNQLXhpF4bq
January 8, 2024 at 11:47AM;Suddenly I See;KT Tunstall;5p9XWUdvbUzmPCukOmwoU3;https://open.spotify.com/track/5p9XWUdvbUzmPCukOmwoU3
January 8, 2024 at 11:52AM;Praise You - Radio Edit;Fatboy Slim;21RDsw7wzUJNl2FbWTgEfJ;https://open.spotify.com/track/21RDsw7wzUJNl2FbWTgEfJ
January 8, 2024 at 11:54AM;Little Things x Gypsy Woman - L BEATS MASHUP;Jorja Smith;6xp1u6ZEHXX8DxJIFFrVoP;https://open.spotify.com/track/6xp1u6ZEHXX8DxJIFFrVoP
January 8, 2024 at 12:04PM;A Part of Me;Neck Deep;65LjCuIAEUX2AmWUjD9tA3;https://open.spotify.com/track/65LjCuIAEUX2AmWUjD9tA3
January 8, 2024 at 12:07PM;Clairvoyant;The Story So Far;0nMOZnZA4GnipZXswSmCS6;https://open.spotify.com/track/0nMOZnZA4GnipZXswSmCS6
January 8, 2024 at 12:10PM;Not a Second to Waste;A Rocket To The Moon;2u4P8OYhcN8K5A0UiofefL;https://open.spotify.com/track/2u4P8OYhcN8K5A0UiofefL
January 8, 2024 at 12:32PM;MakeDamnSure;Taking Back Sunday;6fTgbkBiMITtHUmik95ClX;https://open.spotify.com/track/6fTgbkBiMITtHUmik95ClX
January 8, 2024 at 12:35PM;My Mental Health;Youth Fountain;6cG4Y5b5P3UnrFWMec0Gvv;https://open.spotify.com/track/6cG4Y5b5P3UnrFWMec0Gvv
January 8, 2024 at 12:39PM;A Decade Under The Influence;Taking Back Sunday;6um5ccNzX7k3SRsVnLupvI;https://open.spotify.com/track/6um5ccNzX7k3SRsVnLupvI
January 8, 2024 at 12:42PM;When You Know;Neck Deep;3DaSurzbFuzWE45tQm1TO5;https://open.spotify.com/track/3DaSurzbFuzWE45tQm1TO5
January 8, 2024 at 12:45PM;Blonde;Waterparks;6Donz2zn7kxsRyA7g5l158;https://open.spotify.com/track/6Donz2zn7kxsRyA7g5l158
January 8, 2024 at 12:49PM;The Taste of Ink;The Used;5jZ1Z2GFTf2gwmFc3qiUxs;https://open.spotify.com/track/5jZ1Z2GFTf2gwmFc3qiUxs
January 8, 2024 at 12:52PM;Using;Sorority Noise;42qfjCwue4FErfb2bhOA30;https://open.spotify.com/track/42qfjCwue4FErfb2bhOA30
January 8, 2024 at 12:55PM;Face Down;The Red Jumpsuit Apparatus;4wzjNqjKAKDU82e8uMhzmr;https://open.spotify.com/track/4wzjNqjKAKDU82e8uMhzmr
January 8, 2024 at 12:58PM;You're So Last Summer - Remastered;Taking Back Sunday;0cY6CAgB5wShSOTT3lQl2t;https://open.spotify.com/track/0cY6CAgB5wShSOTT3lQl2t
January 8, 2024 at 05:23PM;But Not Often,;Microwave;55GXIimdbcYKWpTNVByTfG;https://open.spotify.com/track/55GXIimdbcYKWpTNVByTfG
January 8, 2024 at 05:25PM;Another Man's Jeans;Ashe;1WnUPxIwo0IqzwbEwNvz38;https://open.spotify.com/track/1WnUPxIwo0IqzwbEwNvz38
January 8, 2024 at 05:29PM;Talk Too Much;Reneé Rapp;1ekAgx1qOdnVoSlmkHghKq;https://open.spotify.com/track/1ekAgx1qOdnVoSlmkHghKq
January 8, 2024 at 05:32PM;My Kink Is Karma;Chappell Roan;32fSZSbxeVoiZShMQKLc6Z;https://open.spotify.com/track/32fSZSbxeVoiZShMQKLc6Z
January 8, 2024 at 06:26PM;Baby Blue;Luke Hemmings;4FSIfpGQEdJsLXIbufqvOo;https://open.spotify.com/track/4FSIfpGQEdJsLXIbufqvOo
January 9, 2024 at 10:17AM;W.I.T.C.H.;Devon Cole;5XemvyG79fcKPl5lgbhplq;https://open.spotify.com/track/5XemvyG79fcKPl5lgbhplq
January 9, 2024 at 10:20AM;Share Your Address;Ben Platt;74IgSPXYXx7v95NpCzGgsW;https://open.spotify.com/track/74IgSPXYXx7v95NpCzGgsW
January 9, 2024 at 10:24AM;Creep;Radiohead;70LcF31zb1H0PyJoS1Sx1r;https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r
January 9, 2024 at 10:28AM;Valerie (feat. Amy Winehouse) - Version Revisited;Mark Ronson;6kopmMZiyLmw7h66uXcXR7;https://open.spotify.com/track/6kopmMZiyLmw7h66uXcXR7
January 9, 2024 at 10:32AM;Happier Than Ever;Kelly Clarkson;4sRoiXZBLpiRIklm2wy0WZ;https://open.spotify.com/track/4sRoiXZBLpiRIklm2wy0WZ
January 9, 2024 at 11:38AM;Just A Girl;No Doubt;5lWRaa0fBxDE5yU91npPq7;https://open.spotify.com/track/5lWRaa0fBxDE5yU91npPq7
January 9, 2024 at 11:42AM;Dance The Night - From Barbie The Album;Dua Lipa;1vYXt7VSjH9JIM5oRRo7vA;https://open.spotify.com/track/1vYXt7VSjH9JIM5oRRo7vA
January 9, 2024 at 11:46AM;Jamie All Over;Mayday Parade;05qCCJQJiOwvPQBb7akf1R;https://open.spotify.com/track/05qCCJQJiOwvPQBb7akf1R
January 9, 2024 at 11:49AM;Talk Too Much;Reneé Rapp;1ekAgx1qOdnVoSlmkHghKq;https://open.spotify.com/track/1ekAgx1qOdnVoSlmkHghKq
January 9, 2024 at 11:54AM;Before He Cheats;Carrie Underwood;0ZUo4YjG4saFnEJhdWp9Bt;https://open.spotify.com/track/0ZUo4YjG4saFnEJhdWp9Bt
January 9, 2024 at 12:00PM;Not Strong Enough;boygenius;09DR0sHnQUhHOiSNttc1mv;https://open.spotify.com/track/09DR0sHnQUhHOiSNttc1mv
January 9, 2024 at 12:04PM;Jersey;Mayday Parade;6gxupt6imt0qIdbE8e356n;https://open.spotify.com/track/6gxupt6imt0qIdbE8e356n
January 9, 2024 at 12:07PM;Knock Knock;Mac Miller;46wojTgyEs6lbgaWB6yIuz;https://open.spotify.com/track/46wojTgyEs6lbgaWB6yIuz
January 9, 2024 at 12:20PM;Neighborhood #1 (Tunnels);Arcade Fire;0WZZJ0mDKIkLfL0710ssZt;https://open.spotify.com/track/0WZZJ0mDKIkLfL0710ssZt
January 9, 2024 at 12:24PM;Favorite Liar;The Wrecks;1scwknKtBQpreYy6MSoJqJ;https://open.spotify.com/track/1scwknKtBQpreYy6MSoJqJ
January 9, 2024 at 12:27PM;Give It Up (feat. Elizabeth Gillies & Ariana Grande);Victorious Cast;7wtyoTQXrHkHj1iOyUJ33B;https://open.spotify.com/track/7wtyoTQXrHkHj1iOyUJ33B
January 9, 2024 at 12:31PM;Gives You Hell;The All-American Rejects;6ihL9TjfRjadfEePzXXyVF;https://open.spotify.com/track/6ihL9TjfRjadfEePzXXyVF
