date;song;artist;idk;link
October 1, 2024 at 03:41PM;Heaven;Bazzi;4E2sMWXzxK3uYJerGbeUfp;https://open.spotify.com/track/4E2sMWXzxK3uYJerGbeUfp
October 1, 2024 at 03:43PM;Ready;Alessia Cara;74nReXHbAko0DLmBniJest;https://open.spotify.com/track/74nReXHbAko0DLmBniJest
October 1, 2024 at 03:46PM;Be Somebody;CVBZ;4EEnwWm54RLvuhSwSZsl8D;https://open.spotify.com/track/4EEnwWm54RLvuhSwSZsl8D
October 1, 2024 at 03:49PM;sweet home;Christian French;2Yhet3TFvAzE0RvTIB8OVy;https://open.spotify.com/track/2Yhet3TFvAzE0RvTIB8OVy
October 1, 2024 at 03:52PM;Gorgeous;mansionz;75Q69chmd8CEZbVsA4CDMm;https://open.spotify.com/track/75Q69chmd8CEZbVsA4CDMm
October 1, 2024 at 03:54PM;Star;Bazzi;2JuIs3XJlYPy8vBO66CEkJ;https://open.spotify.com/track/2JuIs3XJlYPy8vBO66CEkJ
October 1, 2024 at 03:57PM;Dante's Creek;THEY.;4AQ3WZrtQkU1TCFrt61cNV;https://open.spotify.com/track/4AQ3WZrtQkU1TCFrt61cNV
October 1, 2024 at 07:20PM;Lover Of Mine;5 Seconds of Summer;1hUPOCqOukEl03lOs16DtN;https://open.spotify.com/track/1hUPOCqOukEl03lOs16DtN
October 1, 2024 at 07:23PM;Thin White Lies;5 Seconds of Summer;4t4OlapTFToGpFKOldh5S2;https://open.spotify.com/track/4t4OlapTFToGpFKOldh5S2
October 1, 2024 at 07:26PM;Lonely Heart;5 Seconds of Summer;1MAXdOA4Dtz6eJMz0nEq2H;https://open.spotify.com/track/1MAXdOA4Dtz6eJMz0nEq2H
October 1, 2024 at 07:29PM;High;5 Seconds of Summer;3uegDoaCj8IcNAaW3AoZUX;https://open.spotify.com/track/3uegDoaCj8IcNAaW3AoZUX
October 1, 2024 at 07:33PM;Kill My Time;5 Seconds of Summer;58obITYpGOduWc109gWitx;https://open.spotify.com/track/58obITYpGOduWc109gWitx
October 1, 2024 at 07:37PM;Save Myself;Ashe;3MBdq6U779PbN8WSfsRZAx;https://open.spotify.com/track/3MBdq6U779PbN8WSfsRZAx
October 1, 2024 at 07:40PM;Canyon Moon;Harry Styles;5IhzJOXNE7ki0IIJbZbnGq;https://open.spotify.com/track/5IhzJOXNE7ki0IIJbZbnGq
October 1, 2024 at 07:43PM;blind;ROLE MODEL;0NuWgxEp51CutD2pJoF4OM;https://open.spotify.com/track/0NuWgxEp51CutD2pJoF4OM
October 1, 2024 at 09:08PM;Be Around Me;Will Joseph Cook;08x5le4w5CXDWoPMVF61kJ;https://open.spotify.com/track/08x5le4w5CXDWoPMVF61kJ
October 2, 2024 at 12:42PM;Girls / Girls / Boys;Panic! At The Disco;2wEjPgOCEczmjlvq60LyQi;https://open.spotify.com/track/2wEjPgOCEczmjlvq60LyQi
October 2, 2024 at 12:45PM;Why Do You Love Me;Charlotte Lawrence;09rBX6mQFN1GFJgfqUQak5;https://open.spotify.com/track/09rBX6mQFN1GFJgfqUQak5
October 2, 2024 at 12:48PM;Don't Start Now;Dua Lipa;3PfIrDoz19wz7qK7tYeu62;https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
October 2, 2024 at 12:50PM;Narcissist (feat. The 1975);No Rome;4qjLvvBh5ZeKEPyShKRf06;https://open.spotify.com/track/4qjLvvBh5ZeKEPyShKRf06
October 2, 2024 at 01:57PM;Landslide;Fleetwood Mac;5ihS6UUlyQAfmp48eSkxuQ;https://open.spotify.com/track/5ihS6UUlyQAfmp48eSkxuQ
October 2, 2024 at 02:00PM;Good Riddance (Time of Your Life);Green Day;6ORqU0bHbVCRjXm9AjyHyZ;https://open.spotify.com/track/6ORqU0bHbVCRjXm9AjyHyZ
October 2, 2024 at 02:03PM;Stick Season;Noah Kahan;0mflMxspEfB0VbI1kyLiAv;https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv
October 2, 2024 at 02:05PM;Ain't No Sunshine;Bill Withers;1k1Bqnv2R0uJXQN4u6LKYt;https://open.spotify.com/track/1k1Bqnv2R0uJXQN4u6LKYt
October 2, 2024 at 02:09PM;50 Ways to Leave Your Lover;Paul Simon;6Qb7gtV6Q4MnUjSbkFcopl;https://open.spotify.com/track/6Qb7gtV6Q4MnUjSbkFcopl
October 2, 2024 at 02:14PM;Our House;Crosby, Stills, Nash & Young;2hitsKa8SthKhRJBXUHbIv;https://open.spotify.com/track/2hitsKa8SthKhRJBXUHbIv
October 2, 2024 at 02:37PM;Knockin' On Heaven's Door;Bob Dylan;6HSXNV0b4M4cLJ7ljgVVeh;https://open.spotify.com/track/6HSXNV0b4M4cLJ7ljgVVeh
October 2, 2024 at 02:51PM;Oye Como Va;Santana;5u6y4u5EgDv0peILf60H5t;https://open.spotify.com/track/5u6y4u5EgDv0peILf60H5t
October 2, 2024 at 03:53PM;Incident at Neshabur;Santana;1vcmEqKQAHlnV2fcNdJjEt;https://open.spotify.com/track/1vcmEqKQAHlnV2fcNdJjEt
October 2, 2024 at 04:02PM;Fall for You;Secondhand Serenade;2fywBLXK9GQi8YR8C8d3c4;https://open.spotify.com/track/2fywBLXK9GQi8YR8C8d3c4
October 2, 2024 at 04:05PM;My Own Worst Enemy;Lit;33iv3wnGMrrDugd7GBso1z;https://open.spotify.com/track/33iv3wnGMrrDugd7GBso1z
October 2, 2024 at 04:09PM;Misery Business;Paramore;6SpLc7EXZIPpy0sVko0aoU;https://open.spotify.com/track/6SpLc7EXZIPpy0sVko0aoU
October 2, 2024 at 04:15PM;Misery Business;Paramore;6SpLc7EXZIPpy0sVko0aoU;https://open.spotify.com/track/6SpLc7EXZIPpy0sVko0aoU
October 2, 2024 at 04:18PM;The Anthem;Good Charlotte;0BRHnOFm6sjxN1i9LJrUDu;https://open.spotify.com/track/0BRHnOFm6sjxN1i9LJrUDu
October 2, 2024 at 04:41PM;I Will Follow You into the Dark;Death Cab for Cutie;3kZC0ZmFWrEHdUCmUqlvgZ;https://open.spotify.com/track/3kZC0ZmFWrEHdUCmUqlvgZ
October 3, 2024 at 05:17PM;Landslide;Fleetwood Mac;5ihS6UUlyQAfmp48eSkxuQ;https://open.spotify.com/track/5ihS6UUlyQAfmp48eSkxuQ
